,precision,recall,f1-score,support
glioma,0.9215686274509803,0.705,0.7988668555240793,400.0
meningioma,0.8142201834862385,0.8875,0.8492822966507177,400.0
notumor,0.8662280701754386,0.9875,0.9228971962616822,400.0
pituitary,0.9527363184079602,0.9575,0.9551122194513716,400.0
accuracy,0.884375,0.884375,0.884375,0.884375
macro avg,0.8886882998801544,0.884375,0.8815396419719627,1600.0
weighted avg,0.8886882998801545,0.884375,0.8815396419719626,1600.0
